Date,Open,High,Low,Close,Adj Close,Volume
2020-05-04,294.500000,296.500000,294.000000,295.000000,292.658722,71581861
2020-05-05,296.500000,298.000000,295.000000,295.500000,293.154755,23547405
2020-05-06,294.500000,296.000000,292.500000,296.000000,293.650787,34240479
2020-05-07,294.500000,299.000000,294.500000,297.500000,295.138885,27621198
2020-05-08,300.000000,300.000000,296.000000,297.500000,295.138885,32295893
2020-05-11,300.000000,301.500000,298.500000,301.000000,298.611115,28727019
2020-05-12,297.500000,298.500000,295.000000,295.000000,292.658722,52089788
2020-05-13,293.000000,297.000000,292.500000,297.000000,294.642853,26156418
2020-05-14,293.000000,295.000000,292.500000,293.000000,290.674591,34315948
2020-05-15,297.500000,298.500000,294.500000,298.000000,295.634918,42494804
2020-05-18,291.000000,293.500000,290.000000,290.000000,287.698395,84986065
2020-05-19,294.000000,294.000000,291.500000,291.500000,289.186493,51250214
2020-05-20,293.000000,294.000000,291.000000,294.000000,291.666656,32677994
2020-05-21,296.000000,298.000000,295.000000,297.500000,295.138885,30997468
2020-05-22,294.500000,295.000000,291.000000,292.000000,289.682526,40192923
2020-05-25,290.500000,293.000000,288.500000,292.000000,289.682526,26803223
2020-05-26,295.000000,297.500000,293.500000,295.500000,293.154755,33856481
2020-05-27,297.000000,298.000000,295.500000,296.500000,294.146820,23375959
2020-05-28,298.500000,298.500000,293.000000,294.000000,291.666656,28444568
2020-05-29,292.000000,292.500000,290.000000,292.000000,289.682526,79774181
2020-06-01,294.000000,296.500000,293.500000,295.500000,293.154755,35811214
2020-06-02,296.000000,297.500000,296.000000,296.500000,294.146820,24771587
2020-06-03,300.000000,301.000000,298.000000,301.000000,298.611115,65176337
2020-06-04,305.000000,306.000000,304.000000,306.000000,303.571411,46572451
2020-06-05,308.500000,312.000000,308.000000,311.500000,309.027771,42981262
2020-06-08,316.000000,319.000000,315.000000,318.000000,315.476196,50302921
2020-06-09,316.500000,319.000000,314.000000,319.000000,316.468231,36417082
2020-06-10,319.000000,324.000000,318.000000,322.500000,319.940460,39984259
2020-06-11,325.500000,327.000000,318.500000,320.500000,317.956329,50104255
2020-06-12,313.000000,317.500000,312.500000,316.000000,313.492065,45992918
2020-06-15,316.000000,317.500000,308.500000,309.500000,307.043640,51032404
2020-06-16,317.000000,317.000000,314.000000,315.000000,312.500000,36608216
2020-06-17,316.500000,317.000000,313.500000,315.000000,312.500000,34522968
